image,question,answer
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=861x913 at 0x1798263B040>,are the pulmonary nodules diffuse in the chest or lateralized to one side?,diffuse
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x840 at 0x1798263B0D0>,is there evidence of a right apical pneumothorax on this chest x-ray?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=861x913 at 0x1798263B160>,is the location of the pulmonary nodules diffuse or lateralized to one side?,diffuse
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=540x500 at 0x1798263B1F0>,are the lesions only in one lobe?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=540x500 at 0x1798263B280>,are the opacities confined to one lung lobe?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1798263B310>,is the lesion in the image enhancing?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1798263B3A0>,is the mass contrast-enhancing?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x1798263B430>,where is the lesion located?,left cerebellum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x1798263B4C0>,where is the abnormality in this image?,left cerebellum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=389x461 at 0x1798263B550>,is the cortex atrophied?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=389x461 at 0x1798263B5E0>,is there cortical atrophy?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x715 at 0x1798263B670>,are these masses encompassing the aorta?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x840 at 0x1798263B700>,is a pneumothorax present near the right lung field?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x715 at 0x1798263B790>,are the liver masses growing around the aorta?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=899x925 at 0x1798263B820>,is this a mid-sagittal film?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x870 at 0x1798263B8B0>,is there free air under the diaphragm?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x870 at 0x1798263B940>,is there air in the abdominal cavity?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x1798263B9D0>,is this an axial image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=378x378 at 0x1798263BA60>,is a skull fracture present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=378x378 at 0x1798263BAF0>,is the skull fractured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1798263BB80>,what are the hyperdensities on the periphery of the left side,ribs
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1798263BC10>,what are the foci of hyperdensities on the left?,ribs
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=378x378 at 0x1798263BCA0>,where is the abnormality in this image?,choroid plexus
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=732x516 at 0x1798263BD30>,are the branches of the superior mesenteric arteries filled with contrast?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=378x378 at 0x1798263BDC0>,where is the mass located?,lateral ventricles
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=643x768 at 0x1798263BE50>,is there free air under the diaphragm?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=643x768 at 0x1798263BEE0>,is subdiaphragmatic free air present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x1798263BF70>,are there any consolidations present in the lungs?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x1798263BFD0>,are there any pulmonary consolidations?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=502x333 at 0x1798269C0D0>,is the vertebrae fractured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=502x333 at 0x1798269C160>,is there a vertebral fracture?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=899x925 at 0x1798269C1F0>,why are the chostrochondral junctions not seen on this film?,cartilage is not well viewed by x rays
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=899x925 at 0x1798269C280>,is the heart shadow abnormally large?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=899x925 at 0x1798269C310>,is the cardiac silhouette enlarged?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=732x516 at 0x1798269C3A0>,are the branches of the superior mesenteric arteries hyper attenuated?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1011x1200 at 0x1798269C430>,is there a pneumothorax?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1011x1200 at 0x1798269C4C0>,is a pneumothorax present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x1798269C550>,is there pneumothorax?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x1798269C5E0>,how can you tell there is no pneumothorax present?,lung markings present all the way laterally to the ribs
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x1798269C670>,is the pelvis of the left kidney dilated?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x1798269C700>,is the left renal pelvis dilated?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x1798269C790>,why is the right lung most common location for aspirations?,the right mainstem bronchus is more in line with the trachea than the left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1798269C820>,is the bowel perforated?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1798269C8B0>,is there bowel perforation present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=389x461 at 0x1798269C940>,can the white and gray matter be differentiated?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1304 at 0x1798269C9D0>,are there any fractures in any of the ribs?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=389x461 at 0x1798269CA60>,is there good gray-white matter differentiation?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=643x768 at 0x1798269CAF0>,are there cilia present at the level of alveoli?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=899x925 at 0x1798269CB80>,are any of the ribs fractured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=899x925 at 0x1798269CC10>,are there rib fractures present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=540x500 at 0x1798269CCA0>,does a blocked alveoli cause a v/q mismatch?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x557 at 0x1798269CD30>,what radiographic sign is seen in the intestines,air fluid level
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x557 at 0x1798269CDC0>,what is the finding in lumen of the intestine called?,air fluid level
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x759 at 0x1798269CE50>,what are the multiple round hyperdensities located immediately inferior to the musculature?,intestine
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x759 at 0x1798269CEE0>,what are the anterior circular hyperdensities?,intestine
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x1798269CF70>,are the ventricles enlarged?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1304 at 0x1798269D000>,are any of the patient's ribs fractured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x1798269D090>,is there ventricular enlargement?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x1798269D120>,what is the air under the left hemidiaphragm?,stomach bubble
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x1798269D1B0>,what is hyperdensity under the diaphragm on the left?,stomach bubble
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x908 at 0x1798269D240>,where is the infarct?,left cerebellum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x908 at 0x1798269D2D0>,which vessel is infarcted in this image?,right pica
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x753 at 0x1798269D360>,what signs of cerebral edema are present?,sulcal effacement
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x753 at 0x1798269D3F0>,which signs of edema are visualized here?,sulcal effacement
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=502x333 at 0x1798269D480>,is the mass surrounding the aorta?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=502x333 at 0x1798269D510>,is the aorta encompassed by the mass?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x908 at 0x1798269D5A0>,what area of cerebrum is visible?,temporal lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x1798269D630>,is there blunting of the costovertebral angles?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1798269D6C0>,is there evidence of fluid in the peritoneal cavity?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x908 at 0x1798269D750>,which lobe of the cerebrum is visible?,temporal lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x1798269D7E0>,which vertebral level is this image?,l2
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x1798269D870>,what level of the spine is most likely seen here?,l2-3
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=540x500 at 0x1798269D900>,what else do you need in order to localize lesions on a cxr?,lateral film as well as pa
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x1798269D990>,is the trachea deviated from midline?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x1798269DA20>,is there tracheal deviation?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=389x461 at 0x1798269DAB0>,where is the lesion located?,left occipital lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=389x461 at 0x1798269DB40>,which lobe is the lesion in?,left occipital lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=643x768 at 0x1798269DBD0>,can x rays be used to identify liver lesions?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x753 at 0x1798269DC60>,where is the lesion located?,right temporal lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1798269DCF0>,is there evidence of ascites?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x753 at 0x1798269DD80>,where is the cortical lesion?,right temporal lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x557 at 0x1798269DE10>,is the pancreatic mass enhancing?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x557 at 0x1798269DEA0>,is the mass in the pancreas enhancing?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x1798269DF30>,what does the black on an x ray indicate?,air
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x557 at 0x1798269DFC0>,can ct be used to assess soft tissues?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=540x500 at 0x1798269E050>,are the hemidiaphragms flattened?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=540x500 at 0x1798269E0E0>,is the diaphragm flattened on either side,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=502x333 at 0x1798269E170>,is the bowel perforated?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=502x333 at 0x1798269E200>,is there sign of perforated bowel?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1798269E290>,where is the abnormality in this image?,left kidney
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x421 at 0x1798269E320>,has the small bowel perforated?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1798269E3B0>,where is the lesion located?,left kidney
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x1798269E440>,are any fractures present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x178C9016AD0>,is there a skull fracture?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x908 at 0x178DA0BE950>,is there a skull fracture present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x908 at 0x1798269C0A0>,is the skull fractured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=739x942 at 0x1798269E4D0>,is the cardiac silhouette enlarged?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=739x942 at 0x1798269E530>,is the heart size abnormal,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x407 at 0x1798269E5C0>,is there a subarachnoid bleed in the image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x407 at 0x1798269E650>,is a subarachnoid bleed present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x759 at 0x1798269E6E0>,what material is the peripheral hypodensity?,fat
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x421 at 0x1798269E770>,is there evidence of pneumoperitoneum?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x759 at 0x1798269E800>,what is the the dark gray surrounding the periphery of the image?,fat
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1798269E890>,does the right kidney show signs of hydronephrosis?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1798269E920>,is the right kidney abnormal here?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=540x500 at 0x1798269E9B0>,is the aorta abnormally wide?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=540x500 at 0x1798269EA40>,is the aortic knob widened?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1011x1200 at 0x1798269EAD0>,is the trachea normal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1011x1200 at 0x1798269EB60>,is the trachea midline?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x407 at 0x1798269EBF0>,are the cortexes atrophied here?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x407 at 0x1798269EC80>,is cortical atrophy present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=643x768 at 0x1798269ED10>,is there a pneumothorax?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1105 at 0x1798269EDA0>,is this the small bowel on this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=643x768 at 0x1798269EE30>,is a pneuomothorax present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=670x804 at 0x1798269EEC0>,is the skull fractured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=670x804 at 0x1798269EF50>,is there a skull fracture?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x1798269EFE0>,if the mass compressed the left renal vein in a male	what else might you expect to see?,varicocele
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1001x1280 at 0x1798269F070>,are the clavicles fractured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1001x1280 at 0x1798269F100>,is a clavicular fracture present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1798269F190>,is the liver lacerated?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1798269F220>,is there damage to the liver?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x557 at 0x1798269F2B0>,what does the small white lesions in the aorta mean,calcification
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x557 at 0x1798269F340>,what do the hyperdensities in the aorta suggest?,calcification
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1311 at 0x1798269F3D0>,are feces located in the colon?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1011x1200 at 0x1798269F460>,is a pleural effusion present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1011x1200 at 0x1798269F4F0>,is there a pleural effusion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x1798269F580>,is this in the coronal plane?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x1798269F610>,is there lymphadenopathy?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x1798269F6A0>,is lymphadenopathy present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x608 at 0x1798269F730>,are the ventricles unaltered?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x608 at 0x1798269F7C0>,are the ventricles normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x1798269F850>,what is the shape of the mass?,elliptical
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x1798269F8E0>,what is the form of the mass?,elliptical
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1080 at 0x1798269F970>,describe the borders of the lesion.,smooth
